Player,Pos,Age,Tm,G_p,MP_p,PER_p,TS%_p,3PAr_p,FTr_p,ORB%_p,DRB%_p,TRB%_p,AST%_p,STL%_p,BLK%_p,TOV%_p,USG%_p,OWS_p,DWS_p,WS_p,WS/48_p,OBPM_p,DBPM_p,BPM_p,VORP_p,Year,SeasonType,MPG_p
Edmond Sumner,SG,24,IND,3,41,-1.4,0.381,0.429,0.286,2.8,14.6,8.6,0.0,0.0,0.0,20.2,11.1,-0.1,0.0,-0.1,-0.113,-9.6,-3.3,-12.9,-0.1,2020,Playoffs,13.666666666666666
Elijah Bryant,SG,25,MIL,11,50,7.5,0.35,0.4,0.0,4.2,21.9,12.9,11.0,2.0,1.8,9.1,18.9,-0.1,0.1,0.0,-0.018,-4.6,1.0,-3.6,0.0,2021,Playoffs,4.545454545454546
Enes Freedom,C,26,POR,16,461,17.0,0.555,0.027,0.281,12.2,23.5,17.8,6.5,1.2,1.6,13.7,17.9,0.6,0.4,1.1,0.109,1.0,-1.3,-0.3,0.2,2019,Playoffs,28.8125
Enes Freedom,C,27,BOS,11,102,18.9,0.539,0.024,0.238,21.8,25.4,23.7,12.0,0.0,0.0,7.9,22.0,0.2,0.1,0.4,0.178,0.7,-1.9,-1.2,0.0,2020,Playoffs,9.272727272727273
Enes Freedom,C,28,POR,5,56,6.4,0.563,0.0,0.25,12.7,14.1,13.4,0.0,0.0,3.3,25.3,9.6,0.0,0.0,0.0,0.004,-5.3,-3.0,-8.3,-0.1,2021,Playoffs,11.2
Eric Bledsoe,PG,29,MIL,15,423,14.2,0.494,0.389,0.276,4.9,8.2,6.6,23.7,1.8,1.3,13.7,24.4,0.0,0.7,0.7,0.08,-0.2,0.0,-0.2,0.2,2019,Playoffs,28.2
Eric Bledsoe,PG,30,MIL,9,267,12.6,0.48,0.327,0.265,2.0,14.7,8.2,29.0,2.0,2.4,17.4,21.3,-0.1,0.4,0.3,0.051,-1.4,1.2,-0.2,0.1,2020,Playoffs,29.666666666666668
Eric Gordon,SG,30,HOU,11,410,12.7,0.604,0.633,0.187,1.4,5.9,3.7,5.7,0.8,2.5,14.3,20.3,0.3,0.3,0.6,0.072,1.3,-0.8,0.5,0.3,2019,Playoffs,37.27272727272727
Eric Gordon,SF,31,HOU,12,410,12.8,0.537,0.511,0.227,1.6,7.4,4.4,14.7,1.2,1.7,11.0,23.8,0.0,0.4,0.4,0.053,-0.4,-0.6,-1.0,0.1,2020,Playoffs,34.166666666666664
Eric Gordon,SG,34,LAC,5,149,9.2,0.547,0.659,0.136,0.7,5.0,2.7,12.0,1.0,1.0,7.9,14.3,0.1,-0.1,0.1,0.019,-0.9,-0.4,-1.3,0.0,2023,Playoffs,29.8
Ersan İlyasova,PF,31,MIL,15,272,15.2,0.554,0.494,0.309,7.3,18.1,12.9,11.2,1.8,2.0,6.1,15.4,0.5,0.5,1.1,0.188,0.0,2.8,2.8,0.3,2019,Playoffs,18.133333333333333
Evan Fournier,SG,26,ORL,5,175,5.0,0.427,0.493,0.116,1.7,8.7,5.0,10.7,2.0,0.0,14.2,21.4,-0.4,0.1,-0.3,-0.091,-4.4,-0.5,-4.8,-0.1,2019,Playoffs,35.0
Evan Fournier,SF,27,ORL,5,171,8.9,0.496,0.614,0.298,1.7,10.7,6.0,11.6,1.6,1.8,12.2,18.3,-0.2,0.2,0.0,0.006,-1.5,-0.6,-2.1,0.0,2020,Playoffs,34.2
Evan Fournier,SF,28,BOS,5,167,11.8,0.564,0.476,0.19,3.3,9.5,6.2,6.6,1.8,0.0,6.8,18.6,0.2,-0.1,0.1,0.015,-1.5,-0.8,-2.3,0.0,2021,Playoffs,33.4
Evan Mobley,PF,21,CLE,5,188,9.5,0.476,0.021,0.167,9.7,20.8,15.5,8.6,0.8,2.8,18.9,15.8,-0.2,0.3,0.1,0.036,-3.0,0.8,-2.2,0.0,2023,Playoffs,37.6
Evan Turner,PG,30,POR,16,245,9.0,0.409,0.022,0.326,5.6,26.0,15.8,19.4,0.6,1.0,19.8,11.6,0.0,0.2,0.2,0.035,-3.1,0.6,-2.6,0.0,2019,Playoffs,15.3125
Facundo Campazzo,PG,29,DEN,10,270,12.4,0.565,0.649,0.257,2.7,10.4,6.3,20.2,2.6,1.4,15.4,15.7,0.3,0.1,0.4,0.064,-1.8,1.5,-0.3,0.1,2021,Playoffs,27.0
Frank Kaminsky,C,27,PHO,10,68,13.8,0.49,0.227,0.045,3.5,18.6,11.5,29.2,1.5,4.1,15.1,17.8,0.0,0.1,0.1,0.1,-0.5,5.4,4.9,0.1,2021,Playoffs,6.8
Frank Ntilikina,SG,23,DAL,12,125,5.7,0.471,0.833,0.042,1.9,9.6,5.7,10.4,3.3,0.7,19.7,11.5,-0.1,0.1,0.0,0.007,-5.7,2.0,-3.7,-0.1,2022,Playoffs,10.416666666666666
Fred VanVleet,PG,24,TOR,24,592,10.5,0.534,0.59,0.187,1.5,6.3,3.9,15.7,1.5,1.0,10.5,15.3,0.4,0.7,1.1,0.09,-0.7,0.8,0.1,0.3,2019,Playoffs,24.666666666666668
Fred VanVleet,SG,25,TOR,11,430,16.4,0.537,0.579,0.132,1.2,11.0,6.0,28.4,2.0,1.7,9.9,22.9,0.4,0.8,1.2,0.134,2.9,1.9,4.7,0.7,2020,Playoffs,39.09090909090909
Fred VanVleet,PG,27,TOR,4,140,15.7,0.486,0.667,0.111,1.6,9.7,5.3,27.5,2.6,3.1,6.6,20.1,0.1,0.0,0.2,0.06,2.6,0.9,3.5,0.2,2022,Playoffs,35.0
Furkan Korkmaz,SG,21,PHI,4,36,12.2,0.47,0.444,0.278,0.0,17.1,9.0,21.2,0.0,2.5,4.7,24.9,0.0,0.0,0.1,0.093,-1.3,-0.1,-1.4,0.0,2019,Playoffs,9.0
Furkan Korkmaz,SG,22,PHI,4,40,-4.6,0.163,0.857,0.714,0.0,16.6,8.1,7.2,1.3,0.0,17.9,12.2,-0.2,0.0,-0.2,-0.193,-9.8,-2.0,-11.8,-0.1,2020,Playoffs,10.0
Furkan Korkmaz,SG,23,PHI,12,195,11.3,0.531,0.603,0.192,2.3,10.9,6.8,4.9,1.7,1.3,5.9,18.6,0.0,0.3,0.3,0.076,-1.0,0.6,-0.4,0.1,2021,Playoffs,16.25
Furkan Korkmaz,SG,24,PHI,9,61,14.8,0.586,0.435,0.087,2.1,21.1,12.1,11.5,0.9,1.5,7.7,19.9,0.1,0.1,0.1,0.107,1.1,1.5,2.6,0.1,2022,Playoffs,6.777777777777778
Gabe Vincent,PG,25,MIA,18,423,10.0,0.515,0.618,0.153,0.8,9.2,4.9,20.0,1.7,1.3,15.2,17.4,0.0,0.5,0.6,0.065,-1.7,1.4,-0.3,0.2,2022,Playoffs,23.5
Gabe Vincent,PG,26,MIA,22,672,10.5,0.535,0.549,0.138,1.3,4.0,2.6,17.1,1.4,0.6,10.6,19.5,0.3,0.5,0.7,0.051,-1.9,0.4,-1.5,0.1,2023,Playoffs,30.545454545454547
Garrett Temple,SG,32,LAC,6,63,5.3,0.455,0.636,0.909,1.7,11.3,6.2,4.1,2.2,1.3,11.5,11.3,0.0,0.0,0.0,-0.037,-5.5,0.5,-5.0,0.0,2019,Playoffs,10.5
Garrett Temple,SG,33,BRK,4,137,4.6,0.465,0.735,0.122,0.0,8.7,4.0,9.3,1.0,0.7,10.4,17.3,-0.2,-0.1,-0.3,-0.095,-4.2,-1.8,-6.1,-0.1,2020,Playoffs,34.25
Gary Clark,SF,25,ORL,5,144,9.6,0.526,0.97,0.152,2.7,18.0,10.0,7.0,1.6,1.4,5.4,11.0,0.0,0.2,0.2,0.07,-0.2,1.1,0.9,0.1,2020,Playoffs,28.8
Gary Harris,SG,24,DEN,14,517,13.5,0.569,0.361,0.241,1.8,10.1,5.9,9.3,1.2,1.2,5.9,16.0,0.9,0.2,1.1,0.1,-1.1,0.8,-0.3,0.2,2019,Playoffs,36.92857142857143
Gary Harris,SG,25,DEN,14,379,6.8,0.522,0.578,0.244,2.2,6.5,4.4,8.9,2.2,1.0,17.4,14.5,-0.1,0.2,0.0,0.003,-3.4,1.0,-2.3,0.0,2020,Playoffs,27.071428571428573
Gary Payton II,SG,29,GSW,12,203,20.6,0.751,0.341,0.409,7.4,12.9,10.2,11.0,3.4,3.5,10.4,12.5,0.7,0.3,1.0,0.235,2.7,4.7,7.4,0.5,2022,Playoffs,16.916666666666668
Gary Payton II,SG,30,GSW,12,192,17.7,0.707,0.278,0.167,11.7,12.0,11.8,6.8,2.0,2.6,16.0,14.8,0.4,0.2,0.6,0.154,0.9,2.0,2.9,0.2,2023,Playoffs,16.0
Gary Trent Jr.,SF,21,POR,5,153,5.8,0.499,0.533,0.156,3.4,3.5,3.4,2.9,1.2,0.0,9.4,14.5,0.0,0.0,0.0,-0.007,-2.1,-2.1,-4.2,-0.1,2020,Playoffs,30.6
Gary Trent Jr.,SG,23,TOR,6,199,12.4,0.509,0.476,0.232,0.6,6.2,3.1,6.4,1.6,1.6,3.2,21.8,0.1,-0.1,0.1,0.014,-0.7,-0.7,-1.4,0.0,2022,Playoffs,33.166666666666664
George Hill,PG,32,MIL,15,395,18.3,0.653,0.407,0.28,4.0,9.3,6.7,16.2,1.6,0.9,4.3,15.0,1.3,0.6,1.9,0.231,2.0,3.1,5.1,0.7,2019,Playoffs,26.333333333333332
George Hill,PG,33,MIL,10,268,11.3,0.606,0.418,0.388,2.0,7.7,4.8,16.4,1.1,0.0,16.9,15.2,0.3,0.2,0.5,0.091,-1.4,-0.2,-1.6,0.0,2020,Playoffs,26.8
George Hill,PG,34,PHI,12,205,8.8,0.575,0.442,0.302,2.8,5.7,4.3,11.1,1.9,1.2,17.0,12.3,0.1,0.3,0.4,0.083,-2.7,1.6,-1.1,0.0,2021,Playoffs,17.083333333333332
George Hill,PG,35,MIL,5,76,0.5,0.425,0.4,0.4,1.4,6.5,4.0,5.0,0.0,0.0,14.5,3.9,0.0,0.1,0.1,0.056,-7.3,-0.7,-8.0,-0.1,2022,Playoffs,15.2
Georges Niang,PF,25,UTA,5,55,11.2,0.5,0.591,0.0,0.0,27.8,13.4,16.3,0.9,2.1,8.3,18.6,0.0,0.1,0.1,0.047,-0.9,2.1,1.2,0.0,2019,Playoffs,11.0
Georges Niang,PF,26,UTA,7,114,16.9,0.646,0.659,0.045,4.2,11.1,7.7,5.6,0.0,0.9,4.3,19.2,0.3,0.0,0.3,0.114,2.4,-2.1,0.3,0.1,2020,Playoffs,16.285714285714285
Georges Niang,PF,27,UTA,11,129,1.6,0.429,0.769,0.103,1.9,14.7,8.6,8.4,0.0,0.7,16.4,16.8,-0.2,0.0,-0.3,-0.094,-6.1,-2.2,-8.2,-0.2,2021,Playoffs,11.727272727272727
Georges Niang,PF,28,PHI,12,198,7.1,0.593,0.896,0.042,2.6,8.3,5.6,8.5,0.8,0.0,12.5,13.3,0.1,0.1,0.2,0.053,-1.8,-0.4,-2.2,0.0,2022,Playoffs,16.5
Georges Niang,PF,29,PHI,11,157,6.4,0.667,0.722,0.0,0.0,3.0,1.5,2.0,0.0,1.4,12.2,12.1,0.1,0.0,0.1,0.04,-2.2,-1.7,-3.9,-0.1,2023,Playoffs,14.272727272727273
Gerald Green,SG,33,HOU,11,97,7.2,0.462,0.725,0.125,0.0,13.5,7.0,1.6,1.5,2.9,6.6,20.5,-0.1,0.1,0.0,0.013,-2.7,-0.7,-3.3,0.0,2019,Playoffs,8.818181818181818
Giannis Antetokounmpo,PF,24,MIL,15,514,26.5,0.57,0.21,0.641,7.5,27.7,17.9,25.1,1.6,5.3,13.0,32.2,1.1,1.3,2.3,0.219,5.0,3.3,8.4,1.4,2019,Playoffs,34.266666666666666
Giannis Antetokounmpo,PF,25,MIL,9,277,31.3,0.61,0.248,0.503,10.3,38.2,24.0,36.7,1.0,3.1,13.2,35.2,0.9,0.5,1.4,0.238,7.8,3.4,11.2,0.9,2020,Playoffs,30.77777777777778
Giannis Antetokounmpo,PF,26,MIL,21,800,27.6,0.599,0.159,0.469,7.8,28.7,18.0,24.3,1.3,2.9,10.8,31.8,2.0,1.7,3.7,0.224,6.7,3.2,9.9,2.4,2021,Playoffs,38.095238095238095
Giannis Antetokounmpo,PF,27,MIL,12,448,26.8,0.552,0.144,0.47,6.2,31.8,19.4,36.9,0.9,3.4,13.6,38.5,0.6,1.1,1.7,0.178,6.5,4.0,10.4,1.4,2022,Playoffs,37.333333333333336
Giannis Antetokounmpo,PF,28,MIL,3,91,18.8,0.525,0.057,0.585,9.5,32.4,20.4,29.8,0.5,1.9,17.4,37.3,-0.1,0.1,0.0,-0.026,1.3,0.6,2.0,0.1,2023,Playoffs,30.333333333333332
Glenn Robinson III,SF,25,DET,3,36,7.5,0.388,0.533,0.267,4.9,16.2,9.8,8.3,2.6,0.0,5.6,20.7,-0.1,0.0,-0.1,-0.079,-4.7,-0.4,-5.1,0.0,2019,Playoffs,12.0
Goran Dragić,PG,33,MIA,17,553,15.9,0.549,0.399,0.228,2.8,11.3,7.2,24.1,1.5,0.4,11.7,27.4,0.4,0.4,0.8,0.07,1.1,-0.8,0.3,0.3,2020,Playoffs,32.529411764705884
Goran Dragić,PG,34,MIA,4,117,12.7,0.54,0.481,0.222,0.8,5.2,2.9,18.1,1.7,1.6,9.2,24.5,0.0,0.1,0.0,0.005,1.0,0.6,1.6,0.1,2021,Playoffs,29.25
Goran Dragić,PG,35,BRK,4,79,19.3,0.639,0.375,0.063,9.9,20.0,14.9,12.9,1.9,0.0,13.2,22.0,0.2,0.0,0.2,0.106,1.1,-0.1,1.1,0.1,2022,Playoffs,19.75
Gordon Hayward,PF,28,BOS,9,267,9.7,0.549,0.343,0.271,1.2,12.1,6.9,13.0,1.1,1.0,16.1,15.3,0.0,0.4,0.4,0.074,-1.4,0.6,-0.8,0.1,2019,Playoffs,29.666666666666668
Gordon Hayward,SF,29,BOS,5,157,11.0,0.504,0.48,0.16,2.2,11.7,7.2,13.5,2.2,1.3,11.6,17.2,0.0,0.3,0.2,0.076,-0.5,0.3,-0.1,0.1,2020,Playoffs,31.4
Grant Williams,PF,21,BOS,17,170,10.6,0.773,0.654,0.385,4.8,12.1,8.6,5.0,0.6,2.9,11.6,9.0,0.4,0.2,0.6,0.165,-0.6,2.7,2.1,0.2,2020,Playoffs,10.0
Grant Williams,PF,22,BOS,5,57,14.6,0.638,0.333,0.25,5.8,15.0,10.1,10.1,0.9,6.6,7.0,10.6,0.1,0.0,0.1,0.084,0.4,1.7,2.1,0.1,2021,Playoffs,11.4
Grant Williams,PF,23,BOS,24,654,9.5,0.599,0.593,0.347,4.1,11.3,7.8,4.4,0.6,2.5,10.4,13.3,0.6,0.8,1.4,0.104,-2.0,1.2,-0.8,0.2,2022,Playoffs,27.25
Grant Williams,PF,24,BOS,15,265,12.0,0.662,0.755,0.189,4.9,9.2,7.1,9.0,1.0,2.0,6.5,10.5,0.6,0.2,0.8,0.137,0.1,1.0,1.1,0.2,2023,Playoffs,17.666666666666668
Grayson Allen,SG,25,MEM,5,116,5.3,0.478,0.636,0.03,2.6,10.4,6.2,1.1,0.8,0.9,2.9,12.5,0.0,-0.1,-0.1,-0.035,-3.7,-2.1,-5.7,-0.1,2021,Playoffs,23.2
Grayson Allen,SG,26,MIL,12,305,10.3,0.576,0.585,0.134,1.7,9.7,5.9,7.2,1.3,1.3,9.4,13.6,0.2,0.5,0.7,0.115,-1.0,1.2,0.2,0.2,2022,Playoffs,25.416666666666668
Grayson Allen,SG,27,MIL,5,149,11.0,0.658,0.707,0.171,0.7,8.7,4.5,7.8,0.6,0.0,8.3,13.6,0.2,0.0,0.2,0.073,-0.2,-1.0,-1.1,0.0,2023,Playoffs,29.8
Greg Monroe,C,28,PHI,10,90,17.4,0.455,0.1,0.225,17.8,19.4,18.6,6.9,2.7,4.0,8.3,22.5,0.0,0.2,0.2,0.118,0.4,-0.8,-0.4,0.0,2019,Playoffs,9.0
Harrison Barnes,PF,30,SAC,7,196,12.0,0.525,0.417,0.433,5.1,7.5,6.2,3.5,1.9,1.0,4.0,15.1,0.2,0.2,0.4,0.091,0.0,0.0,0.0,0.1,2023,Playoffs,28.0
Hassan Whiteside,C,30,POR,5,106,12.9,0.564,0.042,0.583,6.9,27.9,17.4,2.9,0.4,8.5,16.6,14.2,0.0,0.1,0.1,0.066,-1.9,0.8,-1.1,0.0,2020,Playoffs,21.2
Hassan Whiteside,C,32,UTA,6,65,16.7,0.4,0.0,0.333,14.4,40.9,27.7,0.0,1.6,15.2,0.0,9.9,0.0,0.2,0.2,0.139,-0.6,2.8,2.2,0.1,2022,Playoffs,10.833333333333334
Haywood Highsmith,PF,26,MIA,18,161,17.0,0.728,0.41,0.128,7.0,10.1,8.5,4.6,3.2,1.2,4.6,12.1,0.4,0.2,0.7,0.198,1.2,3.5,4.7,0.3,2023,Playoffs,8.944444444444445
Herbert Jones,PF,23,NOP,6,226,11.6,0.596,0.273,0.5,3.9,6.7,5.2,6.8,2.5,1.9,13.0,11.7,0.3,0.1,0.4,0.077,-1.1,1.5,0.4,0.1,2022,Playoffs,37.666666666666664
Iman Shumpert,SG,28,HOU,8,109,5.0,0.522,0.846,0.154,1.1,11.0,6.2,2.7,0.5,0.0,9.8,12.4,0.0,0.1,0.1,0.025,-2.5,-0.7,-3.2,0.0,2019,Playoffs,13.625
Immanuel Quickley,PG,21,NYK,5,77,2.4,0.402,0.333,0.212,0.0,10.2,4.8,11.1,2.0,0.0,14.3,24.2,-0.3,0.1,-0.2,-0.112,-6.5,-0.1,-6.6,-0.1,2021,Playoffs,15.4
Immanuel Quickley,SG,23,NYK,8,175,7.4,0.481,0.561,0.303,1.3,7.1,4.2,7.6,1.2,0.0,10.7,21.3,-0.1,0.2,0.1,0.024,-2.6,-1.2,-3.7,-0.1,2023,Playoffs,21.875
Isaac Okoro,SF,22,CLE,5,75,12.8,0.624,0.565,0.261,4.8,6.0,5.4,9.1,1.4,2.4,13.5,18.5,0.1,0.1,0.2,0.111,0.0,2.4,2.4,0.1,2023,Playoffs,15.0
Isaiah Hartenstein,C,24,NYK,11,220,13.5,0.566,0.0,0.696,12.0,14.5,13.2,9.3,2.1,6.9,14.3,7.1,0.3,0.5,0.8,0.17,-1.4,3.9,2.5,0.2,2023,Playoffs,20.0
Ish Smith,PG,30,DET,4,81,3.7,0.302,0.184,0.105,1.1,14.4,6.8,26.3,1.8,1.1,9.1,22.6,-0.3,0.0,-0.3,-0.196,-5.9,-1.9,-7.8,-0.1,2019,Playoffs,20.25
Ish Smith,PG,32,WAS,5,111,7.9,0.395,0.163,0.0,0.9,15.3,7.8,18.0,3.0,1.5,10.4,18.1,-0.2,0.1,-0.1,-0.059,-3.6,0.9,-2.6,0.0,2021,Playoffs,22.2
Ivica Zubac,C,21,LAC,4,39,22.9,0.518,0.0,0.167,29.6,33.4,31.4,4.3,2.4,4.3,17.2,24.6,0.0,0.0,0.1,0.067,2.2,-2.4,-0.2,0.0,2019,Playoffs,9.75
Ivica Zubac,C,22,LAC,13,320,16.0,0.626,0.0,0.474,10.7,21.9,16.2,3.5,0.3,3.0,11.3,14.5,0.7,0.3,1.0,0.151,0.0,-0.5,-0.5,0.1,2020,Playoffs,24.615384615384617
Ivica Zubac,C,23,LAC,17,301,17.6,0.681,0.0,0.86,16.8,21.2,19.0,3.3,0.3,3.9,16.9,14.6,0.8,0.3,1.1,0.177,0.2,-0.4,-0.3,0.1,2021,Playoffs,17.705882352941178
Ivica Zubac,C,25,LAC,5,130,14.1,0.621,0.0,0.533,13.4,30.5,21.4,3.2,1.1,0.6,22.9,15.5,0.1,0.0,0.1,0.041,-1.2,-1.0,-2.3,0.0,2023,Playoffs,26.0
J.J. Redick,SG,34,PHI,12,376,8.8,0.606,0.702,0.161,0.3,4.4,2.4,7.5,0.1,0.7,14.2,17.4,0.3,0.2,0.5,0.059,-0.1,-2.0,-2.1,0.0,2019,Playoffs,31.333333333333332
J.R. Smith,SG,34,LAL,10,75,-3.7,0.385,0.846,0.0,0.0,4.7,2.4,5.3,1.3,0.0,21.2,19.2,-0.3,0.1,-0.2,-0.142,-9.6,-2.1,-11.7,-0.2,2020,Playoffs,7.5
Ja Morant,PG,21,MEM,5,203,21.5,0.578,0.274,0.354,3.5,10.1,6.5,31.1,0.5,0.0,11.5,30.7,0.5,-0.1,0.3,0.074,5.1,-2.3,2.8,0.2,2021,Playoffs,40.6
Ja Morant,PG,22,MEM,9,338,24.3,0.549,0.272,0.473,3.8,19.5,11.2,44.2,2.5,1.2,12.6,30.8,0.8,0.5,1.3,0.191,6.0,2.4,8.4,0.9,2022,Playoffs,37.55555555555556
Ja Morant,PG,23,MEM,5,187,18.4,0.524,0.292,0.245,4.1,15.2,9.2,34.4,2.3,0.5,12.6,30.1,0.0,0.3,0.3,0.082,4.2,2.1,6.3,0.4,2023,Playoffs,37.4
JaKarr Sampson,PF,26,IND,4,50,14.2,0.625,0.0,0.0,2.3,28.8,15.2,14.3,2.0,0.0,11.1,16.6,0.1,0.0,0.1,0.089,-2.7,1.9,-0.8,0.0,2020,Playoffs,12.5
JaMychal Green,PF,28,LAC,6,141,13.0,0.696,0.535,0.233,4.5,21.9,12.6,5.3,1.3,0.0,18.8,17.0,0.2,-0.1,0.1,0.037,-0.2,-0.5,-0.6,0.0,2019,Playoffs,23.5
JaMychal Green,PF,29,LAC,13,222,13.7,0.67,0.418,0.164,6.5,18.3,12.3,4.5,0.4,1.3,7.8,12.6,0.5,0.2,0.7,0.146,0.6,0.9,1.5,0.2,2020,Playoffs,17.076923076923077
JaMychal Green,PF,30,DEN,10,190,12.8,0.551,0.444,0.2,9.4,22.5,15.4,7.7,0.5,1.0,5.8,11.9,0.3,0.0,0.3,0.08,-0.1,-1.2,-1.3,0.0,2021,Playoffs,19.0
JaMychal Green,PF,31,DEN,5,69,6.7,0.524,0.313,0.438,5.2,16.7,10.8,3.9,0.0,1.5,9.5,13.3,0.1,0.0,0.0,0.012,-4.4,-2.7,-7.1,-0.1,2022,Playoffs,13.8
JaMychal Green,PF,32,GSW,7,49,5.6,0.5,0.783,0.0,0.0,10.7,5.3,8.9,0.0,1.7,8.0,21.0,0.0,0.0,0.0,-0.004,-5.4,-0.7,-6.1,-0.1,2023,Playoffs,7.0
JaVale McGee,C,32,LAL,14,135,15.3,0.623,0.063,0.063,14.1,24.3,19.2,7.3,0.7,7.3,21.5,13.5,0.1,0.2,0.4,0.132,-2.6,1.6,-1.1,0.0,2020,Playoffs,9.642857142857142
JaVale McGee,C,34,PHO,12,133,26.3,0.727,0.02,0.26,14.7,27.8,21.4,8.9,1.2,3.6,13.9,22.4,0.5,0.1,0.6,0.226,2.1,1.5,3.5,0.2,2022,Playoffs,11.083333333333334
Jabari Parker,PF,25,BOS,4,59,17.0,0.693,0.238,0.381,3.7,27.0,14.7,5.8,0.0,4.8,19.7,21.9,0.1,0.0,0.0,0.02,-0.8,0.5,-0.4,0.0,2021,Playoffs,14.75
Jaden McDaniels,PF,21,MIN,6,130,15.3,0.713,0.588,0.353,4.5,9.7,7.3,5.0,0.7,7.2,13.3,14.9,0.2,0.1,0.4,0.13,1.8,2.3,4.1,0.2,2022,Playoffs,21.666666666666668
Jae Crowder,SF,28,UTA,5,130,14.0,0.524,0.652,0.413,3.1,21.0,11.7,5.2,1.9,0.0,1.8,18.1,0.2,0.1,0.3,0.112,1.1,2.0,3.1,0.2,2019,Playoffs,26.0
Jae Crowder,PF,29,MIA,21,660,12.2,0.57,0.801,0.229,2.0,17.9,10.2,9.0,1.1,1.8,6.3,16.2,0.6,0.7,1.3,0.095,1.0,0.0,0.9,0.5,2020,Playoffs,31.428571428571427
Jae Crowder,PF,30,PHO,22,729,11.4,0.594,0.772,0.19,1.6,17.9,10.2,7.5,1.3,2.3,8.7,13.7,0.6,1.2,1.8,0.119,0.2,1.7,1.9,0.7,2021,Playoffs,33.13636363636363
Jae Crowder,PF,31,PHO,13,383,9.8,0.524,0.6,0.248,2.6,16.0,9.5,10.8,1.8,1.8,14.0,16.3,0.0,0.2,0.2,0.029,-2.2,1.4,-0.9,0.1,2022,Playoffs,29.46153846153846
Jae Crowder,PF,32,MIL,4,41,0.0,0.252,0.462,0.154,2.6,8.6,5.5,8.9,2.3,0.0,6.7,15.3,-0.1,0.0,-0.1,-0.132,-9.3,-2.5,-11.8,-0.1,2023,Playoffs,10.25
Jakob Poeltl,C,23,SAS,7,177,18.3,0.638,0.028,0.25,15.3,17.5,16.4,9.8,0.6,2.3,7.0,11.2,0.6,0.1,0.7,0.183,0.9,0.0,0.9,0.1,2019,Playoffs,25.285714285714285
Jalen Brunson,PG,24,DAL,7,114,15.3,0.563,0.295,0.295,5.8,12.9,9.2,13.7,0.0,0.0,7.4,21.4,0.2,0.0,0.2,0.071,2.2,-2.1,0.1,0.1,2021,Playoffs,16.285714285714285
Jalen Brunson,SG,25,DAL,18,629,20.1,0.553,0.241,0.289,2.8,12.9,7.8,20.0,1.2,0.1,5.1,27.8,1.3,0.3,1.6,0.123,2.0,-0.5,1.5,0.6,2022,Playoffs,34.94444444444444
Jalen Brunson,PG,26,NYK,11,443,22.9,0.589,0.348,0.296,2.3,11.5,7.0,28.6,2.0,0.2,8.1,28.4,1.4,0.6,2.1,0.227,6.1,1.6,7.7,1.1,2023,Playoffs,40.27272727272727
Jalen Johnson,SF,21,ATL,6,56,13.9,0.523,0.458,0.083,3.5,27.6,14.5,19.4,2.6,0.0,16.7,22.0,0.0,0.0,0.0,0.013,-0.4,2.2,1.8,0.1,2023,Playoffs,9.333333333333334
Jalen McDaniels,SF,25,PHI,8,102,5.2,0.475,0.45,0.0,3.3,15.2,9.1,7.2,0.5,0.0,13.0,10.4,0.0,0.1,0.0,0.011,-4.3,-0.8,-5.0,-0.1,2023,Playoffs,12.75
Jamal Murray,PG,21,DEN,14,508,19.4,0.534,0.329,0.246,3.9,8.8,6.3,21.8,1.4,0.3,7.3,26.4,1.1,0.2,1.3,0.12,3.2,-0.4,2.8,0.6,2019,Playoffs,36.285714285714285
Jamal Murray,PG,22,DEN,19,753,23.7,0.626,0.372,0.212,3.2,11.3,7.3,30.0,1.2,0.8,11.6,27.6,2.5,0.2,2.7,0.174,6.1,-0.2,5.9,1.5,2020,Playoffs,39.63157894736842
Jamal Murray,PG,25,DEN,20,799,21.6,0.586,0.363,0.198,2.3,13.8,8.2,28.1,1.9,0.5,10.1,27.9,2.0,1.0,3.0,0.181,4.1,0.7,4.8,1.4,2023,Playoffs,39.95
James Ennis III,SF,28,PHI,11,232,11.3,0.574,0.5,0.297,7.9,11.5,9.8,7.5,0.8,1.2,12.1,15.0,0.3,0.2,0.5,0.105,-0.7,0.5,-0.2,0.1,2019,Playoffs,21.09090909090909
James Ennis III,SG,29,ORL,5,119,6.9,0.449,0.457,0.257,4.9,20.9,12.5,7.5,1.9,1.7,13.3,16.1,-0.1,0.2,0.0,0.005,-4.4,0.9,-3.5,0.0,2020,Playoffs,23.8
James Harden,PG,29,HOU,11,424,25.2,0.567,0.519,0.371,2.5,17.3,10.1,33.7,2.8,2.2,14.2,37.1,1.0,0.7,1.7,0.189,6.4,1.7,8.1,1.1,2019,Playoffs,38.54545454545455
James Harden,SG,30,HOU,12,448,27.5,0.636,0.513,0.509,2.8,14.4,8.3,38.8,2.0,2.2,13.9,32.4,1.7,0.7,2.4,0.253,7.5,1.9,9.4,1.3,2020,Playoffs,37.333333333333336
James Harden,PG,31,BRK,9,322,23.9,0.673,0.611,0.574,2.5,16.4,9.8,35.1,2.3,1.7,16.1,22.7,1.2,0.6,1.8,0.263,7.0,2.0,9.1,0.9,2021,Playoffs,35.77777777777778
